pair_id,stratum,a_source,a_brand,a_name,a_size,b_source,b_brand,b_name,b_size,suggested,suggest_reason,label
Pb2c1b8eb977b,merged,binnys,Livingston Cellars,Livingston Cellars Red Rose,1.5L,total-wine,Livingston Cellars,Livingston Cellars Red Rose,1.5L Bottle,,,
P90044d923a3d,merged,abc,Mi Campo,Mi Campo Reposado Tequila,1.75 L,binnys,Mi Campo,Mi Campo Reposado,1.75L,,,
Pfc590a067b21,merged,binnys,Baron Herzog,Baron Herzog Sauvignon Blanc,750ML,abc,Baron Herzog,Baron Herzog Sauvignon Blanc,750 mL,,,
Pc0e6da759f63,merged,binnys,Zuccardi,Zuccardi Serie A Torrontes,750ML,abc,Zuccardi,Zuccardi Serie A Torrontes,750 mL,,,
P6a57a22c995e,merged,binnys,Cruzan,Cruzan Black Cherry Rum,750ML,abc,Cruzan,Cruzan Black Cherry Rum,750 mL,,,
Pbd46c05283d2,merged,binnys,Hpnotiq,Hpnotiq Liqueur,750ML,abc,Hpnotiq,Hpnotiq Liqueur,750 mL,,,
Pe8e456e1f3d6,merged,abc,Humano,Humano Reposado Tequila,750 mL,binnys,Humano,Humano Tequila Reposado,750ML,,,
P0d9729bfb953,merged,abc,Campo Azul,Campo Azul Selecto Anejo Tequila,750 mL,binnys,Campo Azul,Campo Azul Selecto Anejo Tequila,750ML,,,
P7fc6c780eb0e,merged,abc,Basil Hayden's,Basil Hayden Toast Bourbon Whiskey,750 mL,binnys,Basil Hayden,Basil Hayden Toast,750ML,,,
P30b79b0ee3a8,merged,total-wine,Clase Azul,Clase Azul Reposado Tequila,1.75L Bottle,binnys,Clase Azul,Clase Azul Reposado Tequila,1.75L,,,
Pe7b90f74262c,merged,abc,Montenegro,Montenegro Amaro,750 mL,binnys,Montenegro,Amaro Montenegro,750ML,,,
P1f35c6e4182c,merged,binnys,Bacardi,Bacardi Lime Rum,1.75L,abc,Bacardi,Bacardi Lime Rum,1.75 L,,,
