jurisdiction_level,jurisdiction,beverage_class,abv_min,abv_max,rate_type,basis,rate_value,currency,is_control_state,effective_date,source,provenance,notes
state,AL,spirits,,,excise,gallon,22.8700,USD,true,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,effective/implied rate incl. state markup — read control_state.py price book for true landed cost
state,AL,wine,,,excise,gallon,1.7000,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,AL,beer,,,excise,gallon,0.5300,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,AK,spirits,,,excise,gallon,12.8000,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,AK,wine,,,excise,gallon,2.5000,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,AK,beer,,,excise,gallon,1.0700,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,AZ,spirits,,,excise,gallon,3.0000,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,AZ,wine,,,excise,gallon,0.8400,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,AZ,beer,,,excise,gallon,0.1600,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,AR,spirits,,,excise,gallon,9.7600,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,AR,wine,,,excise,gallon,1.5000,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,AR,beer,,,excise,gallon,0.3700,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,CA,spirits,,,excise,gallon,3.3000,USD,false,2026-01-01,CA CDTFA (Pub 92),verified,<=100 proof; >100 proof $6.60/gal
state,CA,wine,,,excise,gallon,0.2000,USD,false,2026-01-01,CA CDTFA (Pub 92),verified,<=14% & >14%; sparkling $0.30/gal
state,CA,beer,,,excise,gallon,0.2000,USD,false,2026-01-01,CA CDTFA (Pub 92),verified,
state,CO,spirits,,,excise,gallon,2.2800,USD,false,2026-01-01,CO DOR (CRS 44-3-503),verified,$0.6026/liter
state,CO,wine,,,excise,gallon,0.3200,USD,false,2026-01-01,CO DOR (CRS 44-3-503),verified,$0.0733/L base + $0.01/L wine development fee; CO-produced wines carry graduated surcharges
state,CO,beer,,,excise,gallon,0.0800,USD,false,2026-01-01,CO DOR (CRS 44-3-503),verified,
state,CT,spirits,,,excise,gallon,5.9400,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,CT,wine,,,excise,gallon,0.7900,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,CT,beer,,,excise,gallon,0.1900,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,DE,spirits,,,excise,gallon,4.5000,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,DE,wine,,,excise,gallon,1.6300,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,DE,beer,,,excise,gallon,0.2600,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,FL,spirits,,,excise,gallon,6.5000,USD,false,2026-01-01,FL Stat. 565.12,verified,17.259-55.78% ABV; >55.78% $9.53/gal
state,FL,wine,,,excise,gallon,2.2500,USD,false,2026-01-01,FL Stat. 564.06,verified,still wine
state,FL,beer,,,excise,gallon,0.4800,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,GA,spirits,,,excise,gallon,3.7900,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,GA,wine,,,excise,gallon,1.5100,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,GA,beer,,,excise,gallon,0.4800,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,HI,spirits,,,excise,gallon,5.9800,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,HI,wine,,,excise,gallon,1.3800,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,HI,beer,,,excise,gallon,0.9300,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,ID,spirits,,,excise,gallon,12.9400,USD,true,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,effective/implied rate incl. state markup — read control_state.py price book for true landed cost
state,ID,wine,,,excise,gallon,0.4500,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,ID,beer,,,excise,gallon,0.1500,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,IL,spirits,,,excise,gallon,8.5500,USD,false,2026-01-01,IL DOR (Liquor Gallonage Tax),verified,>20% ABV; PA104-0468 ABV reclass eff Jul2026
state,IL,wine,,,excise,gallon,1.3900,USD,false,2026-01-01,IL DOR (Liquor Gallonage Tax),verified,<=20% ABV
state,IL,beer,,,excise,gallon,0.2310,USD,false,2026-01-01,IL DOR (Liquor Gallonage Tax),verified,0.5-7% ABV incl cider
state,IN,spirits,,,excise,gallon,2.6800,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,IN,wine,,,excise,gallon,0.4700,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,IN,beer,,,excise,gallon,0.1200,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,IA,spirits,,,excise,gallon,15.1400,USD,true,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,effective/implied rate incl. state markup — read control_state.py price book for true landed cost
state,IA,wine,,,excise,gallon,1.7500,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,IA,beer,,,excise,gallon,0.1900,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,KS,spirits,,,excise,gallon,2.5000,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,KS,wine,,,excise,gallon,0.3000,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,KS,beer,,,excise,gallon,0.1800,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,KY,spirits,,,excise,gallon,9.5600,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,KY,wine,,,excise,gallon,3.8200,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,KY,beer,,,excise,gallon,0.8900,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,LA,spirits,,,excise,gallon,3.0300,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,LA,wine,,,excise,gallon,0.7600,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,LA,beer,,,excise,gallon,0.4000,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,ME,spirits,,,excise,gallon,11.9300,USD,true,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,effective/implied rate incl. state markup — read control_state.py price book for true landed cost
state,ME,wine,,,excise,gallon,0.6000,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,ME,beer,,,excise,gallon,0.3500,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,MD,spirits,,,excise,gallon,5.4600,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,MD,wine,,,excise,gallon,1.6400,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,MD,beer,,,excise,gallon,0.6000,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,MA,spirits,,,excise,gallon,4.0500,USD,false,2026-01-01,MA MGL c.138 s.21,verified,>15-50% ABV; >50% per proof gal; <=15% $1.10/gal
state,MA,wine,,,excise,gallon,0.5500,USD,false,2026-01-01,MA MGL c.138 s.21,verified,still; sparkling $0.70/gal
state,MA,beer,,,excise,gallon,0.1065,USD,false,2026-01-01,MA MGL c.138 s.21,verified,$3.30/31-gal barrel
state,MI,spirits,,,excise,gallon,14.6100,USD,true,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,effective/implied rate incl. state markup — read control_state.py price book for true landed cost
state,MI,wine,,,excise,gallon,0.5100,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,MI,beer,,,excise,gallon,0.2000,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,MN,spirits,,,excise,gallon,5.0300,USD,false,2026-01-01,MN DOR (Minn Stat 297G),verified,statutory; TF $8.74 effective incl 2.5% gross-receipts + $0.01/bottle
state,MN,wine,,,excise,gallon,0.3000,USD,false,2026-01-01,MN DOR (Minn Stat 297G),verified,"<=14%; 14-21% $0.95, 21-24% $1.82; +2.5% gross-receipts"
state,MN,beer,,,excise,gallon,0.1500,USD,false,2026-01-01,MN DOR (Minn Stat 297G),verified,strong $4.60/bbl; 3.2% $2.40/bbl; +2.5% gross-receipts
state,MS,spirits,,,excise,gallon,9.3800,USD,true,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,effective/implied rate incl. state markup — read control_state.py price book for true landed cost
state,MS,wine,,,excise,gallon,,USD,true,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",unverified,control state — pricing unavailable to impute effective wine excise
state,MS,beer,,,excise,gallon,0.4300,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,MO,spirits,,,excise,gallon,2.0000,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,MO,wine,,,excise,gallon,0.4200,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,MO,beer,,,excise,gallon,0.0600,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,MT,spirits,,,excise,gallon,10.5500,USD,true,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,effective/implied rate incl. state markup — read control_state.py price book for true landed cost
state,MT,wine,,,excise,gallon,1.0600,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,MT,beer,,,excise,gallon,0.1400,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,NE,spirits,,,excise,gallon,3.7500,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,NE,wine,,,excise,gallon,0.9500,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,NE,beer,,,excise,gallon,0.3100,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,NV,spirits,,,excise,gallon,3.6000,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,NV,wine,,,excise,gallon,0.7000,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,NV,beer,,,excise,gallon,0.1600,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,NH,spirits,,,excise,gallon,0.0000,USD,true,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,effective/implied rate incl. state markup — read control_state.py price book for true landed cost
state,NH,wine,,,excise,gallon,,USD,true,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",unverified,control state — pricing unavailable to impute effective wine excise
state,NH,beer,,,excise,gallon,0.3000,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,NJ,spirits,,,excise,gallon,5.5000,USD,false,2026-01-01,NJ Div of Taxation (NJAC 18:3-2.1),verified,
state,NJ,wine,,,excise,gallon,0.8750,USD,false,2026-01-01,NJ Div of Taxation (NJAC 18:3-2.1),verified,
state,NJ,beer,,,excise,gallon,0.1200,USD,false,2026-01-01,NJ Div of Taxation (NJAC 18:3-2.1),verified,
state,NM,spirits,,,excise,gallon,6.0600,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
state,NM,wine,,,excise,gallon,1.7000,USD,false,2026-01-01,"Tax Foundation (effective rate, Jan 2026)",seed,TF effective rate (may fold in bottle/case fees); verify statutory excise vs state DOR
